  0%|                                                                              | 0/235 [00:00<?, ?it/s]/home/ubuntu/ejpark/embed_train/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2906: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                           
{'loss': 0.3542, 'grad_norm': 12.033740997314453, 'learning_rate': 1.0000000000000001e-07, 'epoch': 0.02}
{'loss': 0.0608, 'grad_norm': 2.738737106323242, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.85}
{'loss': 0.0368, 'grad_norm': 2.1353533267974854, 'learning_rate': 4.1e-06, 'epoch': 0.87}
{'loss': 0.0546, 'grad_norm': 3.5330638885498047, 'learning_rate': 4.2000000000000004e-06, 'epoch': 0.89}
{'loss': 0.0589, 'grad_norm': 4.266804218292236, 'learning_rate': 4.3e-06, 'epoch': 0.91}
{'loss': 0.0342, 'grad_norm': 2.4076781272888184, 'learning_rate': 4.4e-06, 'epoch': 0.94}
{'loss': 0.0757, 'grad_norm': 4.7968220710754395, 'learning_rate': 4.5e-06, 'epoch': 0.96}
{'loss': 0.0368, 'grad_norm': 2.0858256816864014, 'learning_rate': 4.600000000000001e-06, 'epoch': 0.98}
{'loss': 0.0454, 'grad_norm': 2.7151944637298584, 'learning_rate': 4.7e-06, 'epoch': 1.0}
{'loss': 0.035, 'grad_norm': 3.0900964736938477, 'learning_rate': 4.800000000000001e-06, 'epoch': 1.02}
{'loss': 0.0328, 'grad_norm': 2.515904188156128, 'learning_rate': 4.9000000000000005e-06, 'epoch': 1.04}
{'loss': 0.0301, 'grad_norm': 2.0889766216278076, 'learning_rate': 5e-06, 'epoch': 1.06}
{'loss': 0.0388, 'grad_norm': 3.8193535804748535, 'learning_rate': 5.1e-06, 'epoch': 1.09}
{'loss': 0.021, 'grad_norm': 1.4522590637207031, 'learning_rate': 5.2e-06, 'epoch': 1.11}
{'loss': 0.0138, 'grad_norm': 0.866141140460968, 'learning_rate': 5.300000000000001e-06, 'epoch': 1.13}
{'loss': 0.0216, 'grad_norm': 1.4784215688705444, 'learning_rate': 5.400000000000001e-06, 'epoch': 1.15}
{'loss': 0.0195, 'grad_norm': 1.567260503768921, 'learning_rate': 5.500000000000001e-06, 'epoch': 1.17}
{'loss': 0.0149, 'grad_norm': 1.2301859855651855, 'learning_rate': 5.600000000000001e-06, 'epoch': 1.19}
{'loss': 0.0179, 'grad_norm': 1.6111944913864136, 'learning_rate': 5.7e-06, 'epoch': 1.21}
{'loss': 0.0171, 'grad_norm': 2.7633864879608154, 'learning_rate': 5.8e-06, 'epoch': 1.23}
{'loss': 0.0083, 'grad_norm': 0.7286449074745178, 'learning_rate': 5.9e-06, 'epoch': 1.26}
{'loss': 0.0209, 'grad_norm': 1.628138780593872, 'learning_rate': 6e-06, 'epoch': 1.28}
{'loss': 0.0264, 'grad_norm': 3.051302194595337, 'learning_rate': 6.1e-06, 'epoch': 1.3}
{'loss': 0.0157, 'grad_norm': 2.0977368354797363, 'learning_rate': 6.200000000000001e-06, 'epoch': 1.32}
{'loss': 0.0149, 'grad_norm': 1.4780751466751099, 'learning_rate': 6.300000000000001e-06, 'epoch': 1.34}
{'loss': 0.0216, 'grad_norm': 2.2625961303710938, 'learning_rate': 6.4000000000000006e-06, 'epoch': 1.36}
{'loss': 0.0343, 'grad_norm': 4.073897838592529, 'learning_rate': 6.5000000000000004e-06, 'epoch': 1.38}
{'loss': 0.0381, 'grad_norm': 5.506108283996582, 'learning_rate': 6.600000000000001e-06, 'epoch': 1.4}
{'loss': 0.0469, 'grad_norm': 5.58015251159668, 'learning_rate': 6.700000000000001e-06, 'epoch': 1.43}
{'loss': 0.0094, 'grad_norm': 1.1246155500411987, 'learning_rate': 6.800000000000001e-06, 'epoch': 1.45}
{'loss': 0.0229, 'grad_norm': 3.3905277252197266, 'learning_rate': 6.9e-06, 'epoch': 1.47}
{'loss': 0.0059, 'grad_norm': 0.5793740153312683, 'learning_rate': 7e-06, 'epoch': 1.49}
{'loss': 0.0116, 'grad_norm': 1.3802529573440552, 'learning_rate': 7.100000000000001e-06, 'epoch': 1.51}
{'loss': 0.0086, 'grad_norm': 1.0584337711334229, 'learning_rate': 7.2000000000000005e-06, 'epoch': 1.53}
{'loss': 0.0084, 'grad_norm': 1.449221134185791, 'learning_rate': 7.3e-06, 'epoch': 1.55}
{'loss': 0.0084, 'grad_norm': 1.1408500671386719, 'learning_rate': 7.4e-06, 'epoch': 1.57}
{'loss': 0.0156, 'grad_norm': 2.790656805038452, 'learning_rate': 7.500000000000001e-06, 'epoch': 1.6}
{'loss': 0.0888, 'grad_norm': 5.524450778961182, 'learning_rate': 7.600000000000001e-06, 'epoch': 1.62}
{'loss': 0.0147, 'grad_norm': 3.1167237758636475, 'learning_rate': 7.7e-06, 'epoch': 1.64}
{'loss': 0.009, 'grad_norm': 1.190772533416748, 'learning_rate': 7.800000000000002e-06, 'epoch': 1.66}
{'loss': 0.0236, 'grad_norm': 3.1858720779418945, 'learning_rate': 7.9e-06, 'epoch': 1.68}
{'loss': 0.0035, 'grad_norm': 0.5021860003471375, 'learning_rate': 8.000000000000001e-06, 'epoch': 1.7}
{'loss': 0.0139, 'grad_norm': 2.250685930252075, 'learning_rate': 8.1e-06, 'epoch': 1.72}
{'loss': 0.005, 'grad_norm': 0.7229102253913879, 'learning_rate': 8.2e-06, 'epoch': 1.74}
{'loss': 0.0078, 'grad_norm': 1.2422242164611816, 'learning_rate': 8.3e-06, 'epoch': 1.77}
{'loss': 0.0081, 'grad_norm': 1.5767749547958374, 'learning_rate': 8.400000000000001e-06, 'epoch': 1.79}
{'loss': 0.0045, 'grad_norm': 0.5404501557350159, 'learning_rate': 8.5e-06, 'epoch': 1.81}
{'loss': 0.0069, 'grad_norm': 1.0876027345657349, 'learning_rate': 8.6e-06, 'epoch': 1.83}
{'loss': 0.0034, 'grad_norm': 0.6261040568351746, 'learning_rate': 8.700000000000001e-06, 'epoch': 1.85}
{'loss': 0.0044, 'grad_norm': 0.5883716344833374, 'learning_rate': 8.8e-06, 'epoch': 1.87}
{'loss': 0.0129, 'grad_norm': 3.157197952270508, 'learning_rate': 8.900000000000001e-06, 'epoch': 1.89}
{'loss': 0.0056, 'grad_norm': 1.108730673789978, 'learning_rate': 9e-06, 'epoch': 1.91}
{'loss': 0.0101, 'grad_norm': 1.5356848239898682, 'learning_rate': 9.100000000000001e-06, 'epoch': 1.94}
{'loss': 0.0121, 'grad_norm': 3.1599462032318115, 'learning_rate': 9.200000000000002e-06, 'epoch': 1.96}
{'loss': 0.0059, 'grad_norm': 1.1524536609649658, 'learning_rate': 9.3e-06, 'epoch': 1.98}
{'loss': 0.0051, 'grad_norm': 0.8968313932418823, 'learning_rate': 9.4e-06, 'epoch': 2.0}
{'loss': 0.0023, 'grad_norm': 0.35572996735572815, 'learning_rate': 9.5e-06, 'epoch': 2.02}
{'loss': 0.0017, 'grad_norm': 0.25500985980033875, 'learning_rate': 9.600000000000001e-06, 'epoch': 2.04}
{'loss': 0.0019, 'grad_norm': 0.41891565918922424, 'learning_rate': 9.7e-06, 'epoch': 2.06}
{'loss': 0.0033, 'grad_norm': 0.6978186964988708, 'learning_rate': 9.800000000000001e-06, 'epoch': 2.09}
{'loss': 0.001, 'grad_norm': 0.1697273552417755, 'learning_rate': 9.9e-06, 'epoch': 2.11}
{'loss': 0.0033, 'grad_norm': 0.6013979911804199, 'learning_rate': 1e-05, 'epoch': 2.13}
  warnings.warn(
                                                                                                           
{'loss': 0.0021, 'grad_norm': 0.3753412663936615, 'learning_rate': 9.925925925925927e-06, 'epoch': 2.15}
{'loss': 0.0007, 'grad_norm': 0.11698281019926071, 'learning_rate': 9.851851851851852e-06, 'epoch': 2.17}
{'loss': 0.0053, 'grad_norm': 1.9882947206497192, 'learning_rate': 9.777777777777779e-06, 'epoch': 2.19}
{'loss': 0.0073, 'grad_norm': 1.9940329790115356, 'learning_rate': 9.703703703703703e-06, 'epoch': 2.21}
{'loss': 0.0036, 'grad_norm': 1.1851184368133545, 'learning_rate': 9.62962962962963e-06, 'epoch': 2.23}
{'loss': 0.0039, 'grad_norm': 0.8696425557136536, 'learning_rate': 9.555555555555556e-06, 'epoch': 2.26}
{'loss': 0.0031, 'grad_norm': 0.5677564144134521, 'learning_rate': 9.481481481481483e-06, 'epoch': 2.28}
{'loss': 0.0014, 'grad_norm': 0.28265514969825745, 'learning_rate': 9.407407407407408e-06, 'epoch': 2.3}
{'loss': 0.0012, 'grad_norm': 0.3521886169910431, 'learning_rate': 9.333333333333334e-06, 'epoch': 2.32}
{'loss': 0.0006, 'grad_norm': 0.0803200751543045, 'learning_rate': 9.25925925925926e-06, 'epoch': 2.34}
{'loss': 0.0019, 'grad_norm': 0.3274118900299072, 'learning_rate': 9.185185185185186e-06, 'epoch': 2.36}
{'loss': 0.0037, 'grad_norm': 0.9598733186721802, 'learning_rate': 9.111111111111112e-06, 'epoch': 2.38}
{'loss': 0.0018, 'grad_norm': 0.3988512456417084, 'learning_rate': 9.037037037037037e-06, 'epoch': 2.4}
{'loss': 0.0039, 'grad_norm': 1.0339477062225342, 'learning_rate': 8.962962962962963e-06, 'epoch': 2.43}
{'loss': 0.0019, 'grad_norm': 0.281267374753952, 'learning_rate': 8.888888888888888e-06, 'epoch': 2.45}
{'loss': 0.002, 'grad_norm': 0.4283469021320343, 'learning_rate': 8.814814814814817e-06, 'epoch': 2.47}
{'loss': 0.0049, 'grad_norm': 1.4943602085113525, 'learning_rate': 8.740740740740741e-06, 'epoch': 2.49}
{'loss': 0.0032, 'grad_norm': 0.9485610723495483, 'learning_rate': 8.666666666666668e-06, 'epoch': 2.51}
{'loss': 0.0007, 'grad_norm': 0.16493166983127594, 'learning_rate': 8.592592592592593e-06, 'epoch': 2.53}
{'loss': 0.0007, 'grad_norm': 0.15104414522647858, 'learning_rate': 8.518518518518519e-06, 'epoch': 2.55}
{'loss': 0.001, 'grad_norm': 0.18517394363880157, 'learning_rate': 8.444444444444446e-06, 'epoch': 2.57}
{'loss': 0.0027, 'grad_norm': 0.7976466417312622, 'learning_rate': 8.37037037037037e-06, 'epoch': 2.6}
{'loss': 0.0013, 'grad_norm': 0.2126527577638626, 'learning_rate': 8.296296296296297e-06, 'epoch': 2.62}
{'loss': 0.0018, 'grad_norm': 0.2587103843688965, 'learning_rate': 8.222222222222222e-06, 'epoch': 2.64}
{'loss': 0.0027, 'grad_norm': 0.898958683013916, 'learning_rate': 8.148148148148148e-06, 'epoch': 2.66}
{'loss': 0.0013, 'grad_norm': 0.2780291736125946, 'learning_rate': 8.074074074074075e-06, 'epoch': 2.68}
{'loss': 0.0018, 'grad_norm': 1.1248115301132202, 'learning_rate': 8.000000000000001e-06, 'epoch': 2.7}
{'loss': 0.007, 'grad_norm': 1.8214069604873657, 'learning_rate': 7.925925925925926e-06, 'epoch': 2.72}
{'loss': 0.0013, 'grad_norm': 0.20903471112251282, 'learning_rate': 7.851851851851853e-06, 'epoch': 2.74}
{'loss': 0.0021, 'grad_norm': 0.5072874426841736, 'learning_rate': 7.77777777777778e-06, 'epoch': 2.77}
{'loss': 0.0016, 'grad_norm': 0.5311660766601562, 'learning_rate': 7.703703703703704e-06, 'epoch': 2.79}
{'loss': 0.0016, 'grad_norm': 0.456397145986557, 'learning_rate': 7.62962962962963e-06, 'epoch': 2.81}
{'loss': 0.0012, 'grad_norm': 0.2856998145580292, 'learning_rate': 7.555555555555556e-06, 'epoch': 2.83}
{'loss': 0.0032, 'grad_norm': 1.3402937650680542, 'learning_rate': 7.481481481481482e-06, 'epoch': 2.85}
{'loss': 0.0009, 'grad_norm': 0.2273094654083252, 'learning_rate': 7.4074074074074075e-06, 'epoch': 2.87}
{'loss': 0.003, 'grad_norm': 0.9687802791595459, 'learning_rate': 7.333333333333333e-06, 'epoch': 2.89}
{'loss': 0.0023, 'grad_norm': 0.5962303280830383, 'learning_rate': 7.2592592592592605e-06, 'epoch': 2.91}
{'loss': 0.0012, 'grad_norm': 0.1938430666923523, 'learning_rate': 7.185185185185186e-06, 'epoch': 2.94}
{'loss': 0.0009, 'grad_norm': 0.19472679495811462, 'learning_rate': 7.111111111111112e-06, 'epoch': 2.96}
{'loss': 0.0008, 'grad_norm': 0.29403573274612427, 'learning_rate': 7.0370370370370375e-06, 'epoch': 2.98}
{'loss': 0.0019, 'grad_norm': 0.37977516651153564, 'learning_rate': 6.962962962962964e-06, 'epoch': 3.0}
{'loss': 0.0005, 'grad_norm': 0.12226248532533646, 'learning_rate': 6.88888888888889e-06, 'epoch': 3.02}
{'loss': 0.0016, 'grad_norm': 0.35493531823158264, 'learning_rate': 6.814814814814815e-06, 'epoch': 3.04}
{'loss': 0.0004, 'grad_norm': 0.06637892127037048, 'learning_rate': 6.740740740740741e-06, 'epoch': 3.06}
{'loss': 0.0008, 'grad_norm': 0.16426542401313782, 'learning_rate': 6.666666666666667e-06, 'epoch': 3.09}
{'loss': 0.0005, 'grad_norm': 0.10773199796676636, 'learning_rate': 6.592592592592592e-06, 'epoch': 3.11}
{'loss': 0.0133, 'grad_norm': 5.3910746574401855, 'learning_rate': 6.51851851851852e-06, 'epoch': 3.13}
{'loss': 0.0006, 'grad_norm': 0.1041300892829895, 'learning_rate': 6.444444444444445e-06, 'epoch': 3.15}
{'loss': 0.001, 'grad_norm': 0.1981925368309021, 'learning_rate': 6.370370370370371e-06, 'epoch': 3.17}
{'loss': 0.0015, 'grad_norm': 0.450269877910614, 'learning_rate': 6.296296296296297e-06, 'epoch': 3.19}
{'loss': 0.0005, 'grad_norm': 0.11347801983356476, 'learning_rate': 6.222222222222223e-06, 'epoch': 3.21}
{'loss': 0.0018, 'grad_norm': 0.4415121078491211, 'learning_rate': 6.148148148148149e-06, 'epoch': 3.23}
{'loss': 0.0004, 'grad_norm': 0.15065695345401764, 'learning_rate': 6.0740740740740745e-06, 'epoch': 3.26}
{'loss': 0.0014, 'grad_norm': 0.32784727215766907, 'learning_rate': 6e-06, 'epoch': 3.28}
{'loss': 0.0023, 'grad_norm': 0.838682234287262, 'learning_rate': 5.925925925925926e-06, 'epoch': 3.3}
{'loss': 0.001, 'grad_norm': 0.23507729172706604, 'learning_rate': 5.8518518518518515e-06, 'epoch': 3.32}
{'loss': 0.0005, 'grad_norm': 0.08726239204406738, 'learning_rate': 5.777777777777778e-06, 'epoch': 3.34}
{'loss': 0.0008, 'grad_norm': 0.19613519310951233, 'learning_rate': 5.7037037037037045e-06, 'epoch': 3.36}
{'loss': 0.0005, 'grad_norm': 0.15079595148563385, 'learning_rate': 5.62962962962963e-06, 'epoch': 3.38}
{'loss': 0.0011, 'grad_norm': 0.2674061357975006, 'learning_rate': 5.555555555555557e-06, 'epoch': 3.4}
{'loss': 0.0018, 'grad_norm': 0.28436046838760376, 'learning_rate': 5.481481481481482e-06, 'epoch': 3.43}
{'loss': 0.0004, 'grad_norm': 0.10650445520877838, 'learning_rate': 5.407407407407408e-06, 'epoch': 3.45}
{'loss': 0.0004, 'grad_norm': 0.055246785283088684, 'learning_rate': 5.333333333333334e-06, 'epoch': 3.47}
{'loss': 0.0006, 'grad_norm': 0.1724354326725006, 'learning_rate': 5.259259259259259e-06, 'epoch': 3.49}
{'loss': 0.0033, 'grad_norm': 1.738219976425171, 'learning_rate': 5.185185185185185e-06, 'epoch': 3.51}
{'loss': 0.0012, 'grad_norm': 0.5523666143417358, 'learning_rate': 5.1111111111111115e-06, 'epoch': 3.53}
{'loss': 0.0007, 'grad_norm': 0.2690177857875824, 'learning_rate': 5.037037037037037e-06, 'epoch': 3.55}
{'loss': 0.0021, 'grad_norm': 0.4803282916545868, 'learning_rate': 4.962962962962964e-06, 'epoch': 3.57}
{'loss': 0.0004, 'grad_norm': 0.058807507157325745, 'learning_rate': 4.888888888888889e-06, 'epoch': 3.6}
{'loss': 0.0016, 'grad_norm': 0.43498748540878296, 'learning_rate': 4.814814814814815e-06, 'epoch': 3.62}
{'loss': 0.0015, 'grad_norm': 0.4780367314815521, 'learning_rate': 4.7407407407407415e-06, 'epoch': 3.64}
{'loss': 0.0003, 'grad_norm': 0.05381294712424278, 'learning_rate': 4.666666666666667e-06, 'epoch': 3.66}
{'loss': 0.0012, 'grad_norm': 0.3647578954696655, 'learning_rate': 4.592592592592593e-06, 'epoch': 3.68}
{'loss': 0.0005, 'grad_norm': 0.11074212193489075, 'learning_rate': 4.5185185185185185e-06, 'epoch': 3.7}
{'loss': 0.0006, 'grad_norm': 0.1144057959318161, 'learning_rate': 4.444444444444444e-06, 'epoch': 3.72}
{'loss': 0.0004, 'grad_norm': 0.06799500435590744, 'learning_rate': 4.370370370370371e-06, 'epoch': 3.74}
{'loss': 0.0031, 'grad_norm': 0.6352859735488892, 'learning_rate': 4.296296296296296e-06, 'epoch': 3.77}
{'loss': 0.0003, 'grad_norm': 0.07501237094402313, 'learning_rate': 4.222222222222223e-06, 'epoch': 3.79}
{'loss': 0.0013, 'grad_norm': 0.42942848801612854, 'learning_rate': 4.1481481481481485e-06, 'epoch': 3.81}
{'loss': 0.0005, 'grad_norm': 0.15894556045532227, 'learning_rate': 4.074074074074074e-06, 'epoch': 3.83}
{'loss': 0.0011, 'grad_norm': 0.4918827712535858, 'learning_rate': 4.000000000000001e-06, 'epoch': 3.85}
{'loss': 0.0021, 'grad_norm': 0.9327067136764526, 'learning_rate': 3.925925925925926e-06, 'epoch': 3.87}
{'loss': 0.001, 'grad_norm': 0.2993324398994446, 'learning_rate': 3.851851851851852e-06, 'epoch': 3.89}
{'loss': 0.0002, 'grad_norm': 0.02183222584426403, 'learning_rate': 3.777777777777778e-06, 'epoch': 3.91}
{'loss': 0.0018, 'grad_norm': 0.5534901022911072, 'learning_rate': 3.7037037037037037e-06, 'epoch': 3.94}
{'loss': 0.0592, 'grad_norm': 11.412259101867676, 'learning_rate': 3.6296296296296302e-06, 'epoch': 3.96}
{'loss': 0.0352, 'grad_norm': 10.830904006958008, 'learning_rate': 3.555555555555556e-06, 'epoch': 3.98}
{'loss': 0.002, 'grad_norm': 0.5541874170303345, 'learning_rate': 3.481481481481482e-06, 'epoch': 4.0}
{'loss': 0.0005, 'grad_norm': 0.0880390852689743, 'learning_rate': 3.4074074074074077e-06, 'epoch': 4.02}
{'loss': 0.0004, 'grad_norm': 0.10154569894075394, 'learning_rate': 3.3333333333333333e-06, 'epoch': 4.04}
{'loss': 0.0002, 'grad_norm': 0.044319964945316315, 'learning_rate': 3.25925925925926e-06, 'epoch': 4.06}
{'loss': 0.0002, 'grad_norm': 0.03830255940556526, 'learning_rate': 3.1851851851851855e-06, 'epoch': 4.09}
{'loss': 0.0005, 'grad_norm': 0.0848998874425888, 'learning_rate': 3.1111111111111116e-06, 'epoch': 4.11}
{'loss': 0.0003, 'grad_norm': 0.06581521034240723, 'learning_rate': 3.0370370370370372e-06, 'epoch': 4.13}
{'loss': 0.0003, 'grad_norm': 0.041016846895217896, 'learning_rate': 2.962962962962963e-06, 'epoch': 4.15}
{'loss': 0.0002, 'grad_norm': 0.037389419972896576, 'learning_rate': 2.888888888888889e-06, 'epoch': 4.17}
{'loss': 0.0005, 'grad_norm': 0.10609574615955353, 'learning_rate': 2.814814814814815e-06, 'epoch': 4.19}
{'loss': 0.0003, 'grad_norm': 0.07480546832084656, 'learning_rate': 2.740740740740741e-06, 'epoch': 4.21}
{'loss': 0.0018, 'grad_norm': 1.1892997026443481, 'learning_rate': 2.666666666666667e-06, 'epoch': 4.23}
{'loss': 0.0005, 'grad_norm': 0.12364745885133743, 'learning_rate': 2.5925925925925925e-06, 'epoch': 4.26}
  warnings.warn(
                                                                                                           
{'loss': 0.0007, 'grad_norm': 0.23289446532726288, 'learning_rate': 2.5185185185185186e-06, 'epoch': 4.28}
{'loss': 0.0003, 'grad_norm': 0.05832386016845703, 'learning_rate': 2.4444444444444447e-06, 'epoch': 4.3}
{'loss': 0.0002, 'grad_norm': 0.05204100161790848, 'learning_rate': 2.3703703703703707e-06, 'epoch': 4.32}
{'loss': 0.0021, 'grad_norm': 1.074694037437439, 'learning_rate': 2.2962962962962964e-06, 'epoch': 4.34}
{'loss': 0.0026, 'grad_norm': 1.196045994758606, 'learning_rate': 2.222222222222222e-06, 'epoch': 4.36}
{'loss': 0.0004, 'grad_norm': 0.09534545987844467, 'learning_rate': 2.148148148148148e-06, 'epoch': 4.38}
{'loss': 0.0003, 'grad_norm': 0.07652889937162399, 'learning_rate': 2.0740740740740742e-06, 'epoch': 4.4}
{'loss': 0.0003, 'grad_norm': 0.05465097725391388, 'learning_rate': 2.0000000000000003e-06, 'epoch': 4.43}
{'loss': 0.0011, 'grad_norm': 0.4065439701080322, 'learning_rate': 1.925925925925926e-06, 'epoch': 4.45}
{'loss': 0.0002, 'grad_norm': 0.04604420065879822, 'learning_rate': 1.8518518518518519e-06, 'epoch': 4.47}
{'loss': 0.0012, 'grad_norm': 0.28534361720085144, 'learning_rate': 1.777777777777778e-06, 'epoch': 4.49}
{'loss': 0.0005, 'grad_norm': 0.12320239841938019, 'learning_rate': 1.7037037037037038e-06, 'epoch': 4.51}
{'loss': 0.0018, 'grad_norm': 0.9493237137794495, 'learning_rate': 1.62962962962963e-06, 'epoch': 4.53}
{'loss': 0.0007, 'grad_norm': 0.12913931906223297, 'learning_rate': 1.5555555555555558e-06, 'epoch': 4.55}
{'loss': 0.0009, 'grad_norm': 0.3670780062675476, 'learning_rate': 1.4814814814814815e-06, 'epoch': 4.57}
{'loss': 0.0008, 'grad_norm': 0.152528777718544, 'learning_rate': 1.4074074074074075e-06, 'epoch': 4.6}
{'loss': 0.0004, 'grad_norm': 0.0889844298362732, 'learning_rate': 1.3333333333333334e-06, 'epoch': 4.62}
{'loss': 0.0002, 'grad_norm': 0.037412941455841064, 'learning_rate': 1.2592592592592593e-06, 'epoch': 4.64}
{'loss': 0.0002, 'grad_norm': 0.03185069561004639, 'learning_rate': 1.1851851851851854e-06, 'epoch': 4.66}
{'loss': 0.0004, 'grad_norm': 0.10459217429161072, 'learning_rate': 1.111111111111111e-06, 'epoch': 4.68}
{'loss': 0.0004, 'grad_norm': 0.08879156410694122, 'learning_rate': 1.0370370370370371e-06, 'epoch': 4.7}
{'loss': 0.0005, 'grad_norm': 0.06728346645832062, 'learning_rate': 9.62962962962963e-07, 'epoch': 4.72}
{'loss': 0.0004, 'grad_norm': 0.08072466403245926, 'learning_rate': 8.88888888888889e-07, 'epoch': 4.74}
{'loss': 0.0002, 'grad_norm': 0.03320116922259331, 'learning_rate': 8.14814814814815e-07, 'epoch': 4.77}
{'loss': 0.0008, 'grad_norm': 0.1814887374639511, 'learning_rate': 7.407407407407407e-07, 'epoch': 4.79}
